id,name,point,symble,icon
1,╨Л0,0,1,1
2,╨Л1,1,1,2
3,╨Л2,2,1,3
4,╨Л3,3,1,4
5,╨Л4,4,1,5
6,╨Л5,5,1,6
7,╨Л6,6,1,7
8,╨Л7,7,1,8
9,╨Л8,8,1,9
10,╨Л9,9,1,10
11,╨ЛлЬ╧Щеф,20,1,11
12,╨Л+2еф,21,1,12
13,╨Лв╙оРеф,22,1,13
14,бл0,0,2,14
15,бл1,1,2,15
16,бл2,2,2,16
17,бл3,3,2,17
18,бл4,4,2,18
19,бл5,5,2,19
20,бл6,6,2,20
21,бл7,7,2,21
22,бл8,8,2,22
23,бл9,9,2,23
24,бллЬ╧Щеф,20,2,24
25,бл+2еф,21,2,25
26,блв╙оРеф,22,2,26
27,╩ф0,0,3,27
28,╩ф1,1,3,28
29,╩ф2,2,3,29
30,╩ф3,3,3,30
31,╩ф4,4,3,31
32,╩ф5,5,3,32
33,╩ф6,6,3,33
34,╩ф7,7,3,34
35,╩ф8,8,3,35
36,╩ф9,9,3,36
37,╩флЬ╧Щеф,20,3,37
38,╩ф+2еф,21,3,38
39,╩фв╙оРеф,22,3,39
40,ю╤0,0,4,40
41,ю╤1,1,4,41
42,ю╤2,2,4,42
43,ю╤3,3,4,43
44,ю╤4,4,4,44
45,ю╤5,5,4,45
46,ю╤6,6,4,46
47,ю╤7,7,4,47
48,ю╤8,8,4,48
49,ю╤9,9,4,49
50,ю╤лЬ╧Щеф,20,4,50
51,ю╤+2еф,21,4,51
52,ю╤в╙оРеф,22,4,52
53,╠Ди╚еф,23,5,53
54,╠Ди╚+4еф,24,5,54
